success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,condition,rt,stimulus,response,question_order,accuracy,participant_id,ctime
TRUE,FALSE,[],[],[],preload,0,406,0.0-0.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole thinks that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",NA,NA,NA,NA,NA,26f84373-3e05-4eee-8ba2-585097ed4b2b,2024-03-27 14:00:02 CET
NA,NA,NA,NA,NA,html-button-response,1,13160,0.0-1.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole thinks that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",12751,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,26f84373-3e05-4eee-8ba2-585097ed4b2b,2024-03-27 14:00:02 CET
NA,NA,NA,NA,NA,multiple-slider,2,44400,0.0-2.0-0.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole thinks that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",31238.30000000447,NA,"{""stimFIRST"":56,""stimSECOND"":100}","[0,1]",NA,26f84373-3e05-4eee-8ba2-585097ed4b2b,2024-03-27 14:00:02 CET
NA,NA,NA,NA,NA,survey,3,60501,0.0-3.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole thinks that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",16061,NA,"{""P0_Q0"":null,""age"":""54"",""gender"":""non-binary"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",NA,[],26f84373-3e05-4eee-8ba2-585097ed4b2b,2024-03-27 14:00:02 CET
TRUE,FALSE,[],[],[],preload,0,420,0.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole knows that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",NA,NA,NA,NA,NA,1c0fc45a-7b12-4a15-b093-dd2dda03a6e6,2024-03-27 14:03:51 CET
NA,NA,NA,NA,NA,html-button-response,1,8976,0.0-1.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole knows that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",8556,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,1c0fc45a-7b12-4a15-b093-dd2dda03a6e6,2024-03-27 14:03:51 CET
NA,NA,NA,NA,NA,multiple-slider,2,79864,0.0-2.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole knows that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",70883,NA,"{""stimFIRST"":92,""stimSECOND"":100}","[0,1]",NA,1c0fc45a-7b12-4a15-b093-dd2dda03a6e6,2024-03-27 14:03:51 CET
NA,NA,NA,NA,NA,survey,3,99449,0.0-3.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole knows that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",19528,NA,"{""P0_Q0"":null,""age"":""39"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",NA,[],1c0fc45a-7b12-4a15-b093-dd2dda03a6e6,2024-03-27 14:03:51 CET
TRUE,FALSE,[],[],[],preload,0,494,0.0-0.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't think that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",NA,NA,NA,NA,NA,5e8a508f-2305-44f3-9234-5e9b1149e209,2024-03-27 14:07:45 CET
NA,NA,NA,NA,NA,html-button-response,1,4121,0.0-1.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't think that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",3624,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,5e8a508f-2305-44f3-9234-5e9b1149e209,2024-03-27 14:07:45 CET
